amt.pledged,by,category,currency,goal,location,num.backers,num.backers.tier,pledge.tier,title,url
6333295,Ys Net,Video Games,usd,2000000,"Tokyo, Japan",69320,"[2251, 26238, 382, 4671, 14668, 2062, 6539, 1791, 1279, 2822, 1170, 3141, 885, 147, 90, 88, 7, 30, 8, 8, 44, 44, 79, 12, 3, 13, 6, 12, 22, 2, 1, 1, 0, 4, 0, 3, 5, 2, 3]","[5.0, 29.0, 39.0, 60.0, 60.0, 80.0, 100.0, 120.0, 160.0, 175.0, 250.0, 300.0, 500.0, 600.0, 700.0, 800.0, 900.0, 1000.0, 1000.0, 1200.0, 1200.0, 1400.0, 1500.0, 1800.0, 1800.0, 2000.0, 2500.0, 2500.0, 3000.0, 4000.0, 4500.0, 5000.0, 5000.0, 6000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",Shenmue 3,/projects/ysnet/shenmue-3
10266845,Pebble Technology,Product Design,usd,100000,"Palo Alto, CA",68929,"[2615, 200, 40799, 14350, 3800, 100, 4925, 900, 482, 20, 31]","[1.0, 99.0, 115.0, 125.0, 220.0, 235.0, 240.0, 550.0, 1000.0, 1250.0, 10000.0]",Pebble: E-Paper Watch for iPhone and Android,/projects/597507018/pebble-e-paper-watch-for-iphone-and-android
3845170,"comcept USA, LLC",Video Games,usd,900000,"Tokyo, Japan",67226,"[2438, 34059, 6445, 7289, 4472, 1716, 3593, 2203, 959, 2858, 48, 200, 67, 16, 14, 3, 2, 4]","[5.0, 20.0, 40.0, 60.0, 60.0, 80.0, 99.0, 120.0, 175.0, 250.0, 500.0, 500.0, 600.0, 1000.0, 2500.0, 5000.0, 9999.0, 10000.0]",Mighty No. 9,/projects/mightyno9/mighty-no-9
12779843,Pebble Technology,Product Design,usd,1000000,"Redwood City, CA",66673,"[5000, 2798, 8546, 234, 679, 9996, 2042, 13446, 4208, 916, 1408, 8260, 2521, 1150, 415, 231, 741, 287, 2342, 779]","[69.0, 79.0, 99.0, 109.0, 149.0, 169.0, 169.0, 179.0, 179.0, 199.0, 199.0, 229.0, 229.0, 269.0, 269.0, 298.0, 337.0, 337.0, 339.0, 339.0]","Pebble 2, Time 2 + All-New Pebble Core",/projects/597507018/pebble-2-time-2-and-core-an-entirely-new-3g-ultra
5545991,Koji Igarashi,Video Games,usd,500000,"Tokyo, Japan",64867,"[913, 20155, 16450, 6569, 8799, 3085, 2920, 1411, 1002, 2739, 275, 20, 10, 18, 5, 10, 9, 20, 5, 5, 10, 10, 2, 5, 1, 3, 1, 4, 3]","[5.0, 28.0, 60.0, 60.0, 100.0, 125.0, 150.0, 175.0, 250.0, 300.0, 500.0, 750.0, 800.0, 950.0, 999.0, 1000.0, 1000.0, 1500.0, 1550.0, 1600.0, 2000.0, 2100.0, 2500.0, 3000.0, 3500.0, 5000.0, 7500.0, 8500.0, 10000.0]",Bloodstained: Ritual of the Night,/projects/iga/bloodstained-ritual-of-the-night
3246588,Cyanide And Happiness,Tabletop Games,usd,10000,"Dallas, TX",63758,"[435, 6491, 26903, 18140, 7395, 1841, 1279, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 42, 1047, 9]","[1.0, 25.0, 35.0, 45.0, 60.0, 75.0, 100.0, 102.0, 104.0, 106.0, 106.0, 107.0, 108.0, 109.0, 111.0, 120.0, 123.0, 133.0, 200.0, 200.0, 1000.0]",Joking Hazard,/projects/cyanideandhappiness/joking-hazard
8596474,OUYA,Gaming Hardware,usd,950000,"Los Angeles, CA",63416,"[1770, 1898, 1000, 46124, 7755, 2500, 600, 226, 4, 12]","[10.0, 25.0, 95.0, 99.0, 140.0, 225.0, 699.0, 1337.0, 5000.0, 10000.0]",OUYA: A New Kind of Video Game Console,/projects/ouya/ouya-a-new-kind-of-video-game-console
13285226,Ryan Grepper,Product Design,usd,50000,"Portland, OR",62642,"[1078, 311, 133, 50, 20, 50213, 7063, 2455, 31, 304, 8]","[5.0, 25.0, 55.0, 165.0, 165.0, 185.0, 185.0, 225.0, 500.0, 1750.0, 2000.0]",COOLEST COOLER: 21st Century Cooler that's Actually Cooler,/projects/ryangrepper/coolest-cooler-21st-century-cooler-thats-actually
2933252,inXile entertainment,Video Games,usd,900000,"Newport Beach, CA",61290,"[32778, 8828, 7967, 2274, 1130, 5218, 776, 407, 1200, 172, 147, 2, 13, 9, 12]","[15.0, 30.0, 50.0, 55.0, 75.0, 100.0, 150.0, 150.0, 250.0, 500.0, 1000.0, 2000.0, 2500.0, 5000.0, 10000.0]",Wasteland 2,/projects/inxile/wasteland-2
5764229,Joel Hodgson,Television,usd,2000000,"Minneapolis, MN",48270,"[5319, 3024, 5269, 7452, 1649, 3543, 11148, 8, 2, 1726, 4079, 690, 1781, 130, 14, 28, 115, 2, 1, 48, 70, 48, 108, 113, 14, 11, 1, 2, 1, 4, 18, 0, 15, 2, 10, 4, 3, 1, 11, 3, 5]","[10.0, 25.0, 35.0, 50.0, 75.0, 85.0, 100.0, 100.0, 125.0, 150.0, 200.0, 250.0, 300.0, 400.0, 498.0, 499.0, 500.0, 750.0, 750.0, 751.0, 752.0, 872.0, 1000.0, 1000.0, 1500.0, 2001.0, 2500.0, 3000.0, 3500.0, 4000.0, 5000.0, 5000.0, 6000.0, 6500.0, 7500.0, 8000.0, 8000.0, 9999.0, 10000.0, 15000.0, 25000.0]",Bring Back MYSTERY SCIENCE THEATER 3000,/projects/mst3k/bringbackmst3k
3105473,Zach Braff,Narrative Film,usd,2000000,"Los Angeles, CA",46520,"[9133, 6208, 5706, 9952, 2952, 254, 449, 500, 396, 614, 2, 158, 172, 280, 1000, 120, 150, 229, 55, 557, 600, 710, 400, 389, 301, 330, 325, 175, 160, 215, 75, 99, 135, 36, 69, 117, 25, 25, 15, 25, 14, 22, 25, 25, 17, 19, 25, 48, 49, 75, 75, 22, 19, 18, 5, 4, 1, 9, 2, 3, 1, 1]","[10.0, 20.0, 30.0, 40.0, 60.0, 75.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 125.0, 150.0, 175.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 250.0, 500.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 750.0, 750.0, 1000.0, 1000.0, 1500.0, 2500.0, 3000.0, 5000.0, 5000.0, 7000.0, 7500.0, 8000.0, 9000.0, 10000.0, 10000.0]",WISH I WAS HERE,/projects/1869987317/wish-i-was-here-1
9192055,BAUBAX LLC,Product Design,usd,20000,"Chicago, IL",44949,"[319, 334, 100, 200, 970, 50, 1735, 1824, 3559, 630, 3100, 6200, 1168, 2256, 4107, 1249, 827, 25, 50, 865, 325, 1940, 1120, 673, 5185, 1903, 287, 80, 10, 220, 154, 808, 430, 50, 610, 404, 328, 155, 100, 145, 97, 70, 61]","[5.0, 25.0, 89.0, 99.0, 99.0, 109.0, 109.0, 109.0, 119.0, 119.0, 119.0, 129.0, 129.0, 129.0, 139.0, 149.0, 159.0, 178.0, 188.0, 208.0, 228.0, 229.0, 238.0, 248.0, 249.0, 269.0, 279.0, 337.0, 347.0, 349.0, 367.0, 369.0, 389.0, 417.0, 449.0, 459.0, 479.0, 559.0, 599.0, 669.0, 719.0, 1099.0, 1199.0]",The World's Best TRAVEL JACKET with 15 Features || BAUBAX,/projects/597538543/the-worlds-best-travel-jacket-with-15-features-bau
2229344,Uber Entertainment Inc,Video Games,usd,900000,"Kirkland, WA",44162,"[5000, 18720, 5513, 6462, 1543, 1000, 3908, 116, 977, 380, 118, 91, 6, 5]","[15.0, 20.0, 40.0, 50.0, 90.0, 95.0, 100.0, 140.0, 150.0, 250.0, 500.0, 1000.0, 5000.0, 10000.0]",Planetary Annihilation - A Next Generation RTS,/projects/659943965/planetary-annihilation-a-next-generation-rts
2032434,Larian Studios LLC,Video Games,usd,500000,"Sacramento, CA",42713,"[103, 10000, 10000, 3954, 3407, 675, 4109, 4664, 347, 144, 217, 805, 243, 189, 223, 83, 2168, 373, 49, 61, 200, 78, 179, 100, 28, 49, 24, 20, 12, 10, 13, 10, 11, 12, 0, 1, 2]","[5.0, 25.0, 26.0, 27.0, 30.0, 40.0, 50.0, 50.0, 60.0, 60.0, 80.0, 90.0, 90.0, 100.0, 100.0, 100.0, 125.0, 125.0, 130.0, 190.0, 200.0, 200.0, 205.0, 300.0, 310.0, 350.0, 400.0, 500.0, 550.0, 650.0, 700.0, 750.0, 800.0, 1000.0, 2500.0, 5000.0, 10000.0]",Divinity: Original Sin 2,/projects/larianstudios/divinity-original-sin-2
2785537,Harebrained Schemes LLC,Video Games,usd,250000,"Kirkland, WA",41733,"[574, 18594, 2666, 12114, 2266, 3219, 2140, 52, 50, 5, 2, 2, 2, 1]","[1.0, 25.0, 35.0, 50.0, 85.0, 125.0, 275.0, 1000.0, 2000.0, 4000.0, 4000.0, 10000.0, 10000.0, 10000.0]",BATTLETECH - Tactical 'Mech Combat Returns to the PC.,/projects/webeharebrained/battletech
2071927,Next Thing Co.,Hardware,usd,50000,"Oakland, CA",39560,"[5000, 5000, 3996, 627, 1272, 2624, 6200, 3297, 3261, 3281, 3000, 670, 1000, 34]","[9.0, 9.0, 9.0, 9.0, 19.0, 19.0, 24.0, 49.0, 64.0, 93.0, 93.0, 98.0, 150.0, 489.0]",CHIP - The World's First Nine Dollar Computer,/projects/1598272670/chip-the-worlds-first-9-computer
1731465,PINE64 Inc.,Hardware,usd,31416,"San Francisco, CA",36781,"[144, 66, 10, 1000, 2555, 159, 15, 300, 1000, 5000, 3247, 1000, 13647, 1465, 2197, 4777, 11, 57, 2]","[1.0, 5.0, 5.0, 15.0, 15.0, 15.0, 16.0, 19.0, 19.0, 19.0, 19.0, 29.0, 29.0, 59.0, 59.0, 89.0, 399.0, 499.0, 5000.0]","PINE A64, First $15 64-Bit Single Board Super Computer",/projects/pine64/pine-a64-first-15-64-bit-single-board-super-comput
1836447,Harebrained Schemes LLC,Video Games,usd,400000,"Bellevue, WA",36276,"[15502, 8478, 1397, 4378, 1128, 4247, 379, 417, 100, 41, 12, 0, 0, 3]","[15.0, 30.0, 50.0, 60.0, 100.0, 125.0, 175.0, 250.0, 500.0, 1000.0, 2500.0, 5000.0, 7500.0, 10000.0]",Shadowrun Returns,/projects/webeharebrained/shadowrun-returns
1106371,Warhorse Studios,Video Games,gbp,300000,"Prague, Czech Republic",35384,"[355, 8653, 6331, 765, 8047, 1817, 4944, 994, 2100, 680, 241, 50, 50, 10, 2, 3]","[5.0, 25.0, 33.0, 33.0, 41.0, 41.0, 49.0, 66.0, 107.0, 205.0, 493.0, 986.0, 986.0, 1971.0, 4929.0, 8214.0]",Kingdom Come: Deliverance,/projects/1294225970/kingdom-come-deliverance
1479046,Max Temkin,Tabletop Games,usd,54450,"Chicago, IL",34565,"[8352, 12447, 3368, 10120, 71, 58, 20, 6]","[25.0, 30.0, 37.0, 42.0, 90.0, 150.0, 225.0, 300.0]",Secret Hitler,/projects/maxtemkin/secret-hitler
2134374,Cloud Imperium Games Corporation,Video Games,usd,500000,"Los Angeles, CA",34397,"[2697, 163, 5000, 5000, 3000, 4966, 2010, 3541, 2278, 627, 220, 163, 259, 82, 1041, 1453, 1509, 115, 22, 3, 1, 1]","[5.0, 10.0, 30.0, 30.0, 35.0, 37.0, 40.0, 60.0, 60.0, 60.0, 110.0, 110.0, 110.0, 120.0, 125.0, 125.0, 250.0, 500.0, 1000.0, 2500.0, 5000.0, 10000.0]",Star Citizen,/projects/cig/star-citizen
1519680,inXile entertainment,Video Games,usd,1250000,"Newport Beach, CA",33741,"[74, 14999, 7786, 304, 503, 481, 674, 2445, 1199, 347, 552, 365, 1999, 138, 1033, 194, 78, 88, 113, 8, 16, 37, 96, 21, 12, 4, 5, 6, 3, 4, 5]","[5.0, 20.0, 25.0, 27.0, 30.0, 33.0, 40.0, 50.0, 55.0, 65.0, 70.0, 75.0, 95.0, 105.0, 105.0, 135.0, 185.0, 200.0, 230.0, 350.0, 400.0, 550.0, 650.0, 675.0, 750.0, 750.0, 1000.0, 1200.0, 2000.0, 5000.0, 10000.0]",The Bard's Tale IV,/projects/inxile/the-bards-tale-iv
1229015,Double Fine and 2 Player Productions,Video Games,usd,725000,"San Francisco, CA",31774,"[20286, 2548, 5143, 518, 1239, 913, 581, 194, 9, 4, 4]","[20.0, 35.0, 50.0, 75.0, 100.0, 100.0, 150.0, 250.0, 1000.0, 5000.0, 10000.0]",Double Fine's MASSIVE CHALICE,/projects/doublefine/double-fines-massive-chalice
1204726,Harebrained Schemes LLC,Video Games,usd,100000,"Kirkland, WA",31497,"[153, 19689, 2497, 3291, 1, 1683, 598, 1073, 186, 1183, 262, 714, 80, 43, 8, 1]","[1.0, 15.0, 25.0, 35.0, 35.0, 55.0, 65.0, 75.0, 100.0, 150.0, 180.0, 225.0, 500.0, 1000.0, 2500.0, 10000.0]",Shadowrun: Hong Kong,/projects/webeharebrained/shadowrun-hong-kong
3771474,Steamforged Games Ltd,Tabletop Games,gbp,50000,"Stockport, UK",31178,"[998, 28395, 759]","[106.0, 113.0, 283.0]",Dark Souls\u2122 - The Board Game,/projects/steamforged/dark-soulstm-the-board-game
1353024,Rooster Teeth,Tabletop Games,usd,10000,"Austin, TX",30546,"[2392, 1669, 15146, 6508, 46, 95, 259, 317, 2559, 497, 252, 600, 10]","[25.0, 25.0, 35.0, 35.0, 45.0, 45.0, 65.0, 65.0, 75.0, 75.0, 100.0, 150.0, 2500.0]","Million Dollars, But... The Game",/projects/roosterteeth/million-dollars-but-the-game
695138,Nimrod Back,Product Design,usd,40000,"New York, NY",28818,"[79, 23, 300, 5961, 1678, 1255, 14358, 3553, 1135, 289, 1]","[5.0, 12.0, 15.0, 17.0, 20.0, 20.0, 20.0, 25.0, 35.0, 45.0, 1000.0]",Pressy - the Almighty Android Button!,/projects/556341540/pressy-the-almighty-android-button
851108,Charles Harris,Product Design,usd,10000,"Anacortes, WA",28274,"[68, 1445, 13230, 666, 8704, 385, 3509, 238]","[1.0, 8.0, 17.0, 19.0, 30.0, 33.0, 45.0, 90.0]",Xpand\xae Lacing System: Shoelaces Redesigned,/projects/914635363/xpand-lacing-system
702516,Sauropod Studio,Video Games,usd,80000,"Montreal, Canada",27060,"[11362, 11763, 816, 1370, 274, 843, 51, 69, 192, 52, 82, 66, 4]","[15.0, 25.0, 30.0, 45.0, 50.0, 55.0, 75.0, 80.0, 100.0, 150.0, 250.0, 350.0, 2000.0]",Castle Story,/projects/902505202/castle-story
2344134,WobbleWorks LLC.,Hardware,usd,30000,"Boston, MA",26457,"[1053, 15, 100, 2499, 3498, 2000, 2400, 1339, 2500, 3500, 1999, 3599, 1698, 85, 10, 10, 4, 1]","[1.0, 25.0, 50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 99.0, 99.0, 99.0, 99.0, 99.0, 125.0, 220.0, 220.0, 1000.0, 10000.0]",3Doodler: The World's First 3D Printing Pen,/projects/1351910088/3doodler-the-worlds-first-3d-printing-pen
6565782,Peak Design,Product Design,usd,500000,"San Francisco, CA",26359,"[2967, 367, 2076, 187, 10011, 1627, 5422, 881, 181, 88, 805, 693, 387, 353]","[115.0, 125.0, 145.0, 155.0, 189.0, 199.0, 219.0, 229.0, 295.0, 325.0, 365.0, 395.0, 449.0, 479.0]","The Everyday Backpack, Tote, and Sling",/projects/peak-design/the-everyday-backpack-tote-and-sling
1578316,Frontier Developments,Video Games,gbp,1250000,"Cambridge, UK",25681,"[371, 181, 128, 9999, 1389, 738, 921, 138, 641, 1995, 577, 369, 1278, 344, 374, 159, 60, 485, 843, 1339, 1125, 1167, 261, 387, 113, 100, 16, 7, 12, 5, 1]","[8.0, 16.0, 24.0, 32.0, 40.0, 48.0, 51.0, 56.0, 59.0, 64.0, 67.0, 72.0, 80.0, 88.0, 96.0, 112.0, 120.0, 128.0, 136.0, 144.0, 160.0, 240.0, 321.0, 481.0, 801.0, 1202.0, 2404.0, 4808.0, 7212.0, 8013.0, 8013.0]",Elite: Dangerous,/projects/1461411552/elite-dangerous
1192793,Amanda Palmer,Music,usd,100000,"Boston, MA",24883,"[4744, 6356, 9333, 1347, 488, 1603, 65, 5, 298, 50, 88, 74, 83, 46, 50, 6, 38, 6, 28, 72, 4, 34, 2, 0]","[1.0, 5.0, 25.0, 50.0, 100.0, 125.0, 250.0, 250.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 500.0, 500.0, 1000.0, 1000.0, 1000.0, 5000.0, 10000.0, 10000.0]","Theatre Is Evil: the album, art book and tour",/projects/amandapalmer/amanda-palmer-the-new-record-art-book-and-tour
2485506,MS Paint Adventures,Video Games,usd,700000,"Miami, FL",24346,"[7329, 4559, 1838, 743, 1693, 1458, 268, 491, 1731, 144, 215, 44, 463, 116, 400, 131, 699, 40, 104, 440, 267, 48, 612, 132, 2, 2]","[15.0, 25.0, 55.0, 80.0, 105.0, 105.0, 105.0, 130.0, 155.0, 180.0, 180.0, 180.0, 205.0, 205.0, 230.0, 255.0, 255.0, 330.0, 380.0, 380.0, 405.0, 505.0, 605.0, 1000.0, 5000.0, 10000.0]",Homestuck Adventure Game,/projects/14293468/homestuck-adventure-game
645158,Heart Machine,Video Games,usd,27000,"Los Angeles, CA",24150,"[8431, 5641, 1708, 2596, 3300, 200, 184, 418, 700, 100, 245, 99, 50, 136, 59, 1, 50, 5, 11, 5, 8, 7, 1]","[10.0, 15.0, 20.0, 25.0, 40.0, 60.0, 62.0, 64.0, 75.0, 100.0, 109.0, 110.0, 115.0, 120.0, 150.0, 200.0, 225.0, 250.0, 350.0, 500.0, 600.0, 1000.0, 1400.0]",Hyper Light Drifter,/projects/1661802484/hyper-light-drifter
1911827,Eric Falconer,Narrative Film,usd,1500000,"Los Angeles, CA",23999,"[950, 979, 4590, 1042, 318, 344, 836, 9596, 97, 477, 3097, 528, 181, 264, 119, 93, 43, 9, 5, 14, 1, 5, 9, 1, 0, 2, 10, 9]","[1.0, 10.0, 20.0, 25.0, 30.0, 35.0, 40.0, 50.0, 65.0, 75.0, 100.0, 200.0, 300.0, 500.0, 750.0, 750.0, 750.0, 1000.0, 1001.0, 1500.0, 2500.0, 3000.0, 3500.0, 5000.0, 6500.0, 8000.0, 10000.0, 10000.0]",Blue Mountain State: The Movie,/projects/773106364/blue-mountain-state-the-movie
658434,Angelia Trinidad,Product Design,usd,10000,"San Diego, CA",23626,"[3438, 5745, 50, 28, 75, 150, 2, 250, 27, 550, 2169, 300, 99, 1410, 1627, 100, 200, 2, 954, 250, 1, 499, 500, 421, 200, 300, 699, 150, 150, 300, 350, 110, 205, 200, 422, 75, 100, 200, 200, 100, 196, 106, 30, 20, 72, 45, 20, 74, 118, 25, 50, 30, 20, 20, 16, 10, 19, 10, 14, 10, 9, 15, 36]","[1.0, 1.0, 20.0, 23.0, 23.0, 23.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 30.0, 30.0, 30.0, 30.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 40.0, 40.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 55.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 70.0, 75.0, 75.0, 75.0, 75.0, 80.0, 80.0, 80.0, 100.0, 100.0, 100.0, 120.0, 120.0, 120.0, 140.0, 140.0, 160.0, 160.0, 180.0, 180.0, 200.0, 200.0]",Passion Planner: The One Place for All Your Thoughts,/projects/angeliatrinidad/passion-planner-the-one-place-for-all-your-thought
1241615,"Bill Nye, CEO, The Planetary Society",Space Exploration,usd,200000,"Pasadena, CA",23331,"[2149, 2528, 1320, 1272, 1663, 351, 5519, 385, 308, 50, 713, 1744, 235, 93, 299, 60, 1483, 393, 17, 228, 104, 550, 200, 50, 51, 53, 37, 40, 308, 26, 15, 118, 57, 236, 37, 25, 43, 67, 61, 2, 10, 3, 2]","[1.0, 5.0, 15.0, 20.0, 25.0, 25.0, 35.0, 35.0, 35.0, 35.0, 45.0, 50.0, 50.0, 50.0, 50.0, 50.0, 55.0, 55.0, 75.0, 75.0, 75.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 150.0, 150.0, 150.0, 160.0, 175.0, 185.0, 375.0, 375.0, 500.0, 500.0, 1000.0, 1000.0, 1500.0, 5000.0, 10000.0]",LightSail: A Revolutionary Solar Sailing Spacecraft,/projects/theplanetarysociety/lightsail-a-revolutionary-solar-sailing-spacecraft
751920,Radiant Entertainment,Video Games,usd,120000,"San Jose, CA",22844,"[90, 6499, 735, 9942, 1440, 3316, 214, 342, 65, 24, 9, 20, 3, 4, 2]","[5.0, 15.0, 25.0, 30.0, 45.0, 50.0, 75.0, 100.0, 150.0, 250.0, 500.0, 525.0, 1000.0, 2000.0, 5000.0]",Stonehearth,/projects/1590639245/stonehearth
3560642,CoolMiniOrNot,Tabletop Games,usd,200000,"Atlanta, GA",22361,"[1820, 18505]","[110.0, 120.0]",Massive Darkness,/projects/coolminiornot/massive-darkness
1919275,"Portalarium, Inc.",Video Games,usd,1000000,"Austin, TX",22322,"[88, 4989, 4990, 2513, 865, 1063, 1747, 53, 1575, 358, 669, 803, 1217, 156, 133, 60, 66, 373, 207, 68, 20, 17, 5, 9, 2]","[10.0, 25.0, 30.0, 33.0, 40.0, 50.0, 60.0, 80.0, 80.0, 100.0, 120.0, 125.0, 150.0, 200.0, 250.0, 350.0, 400.0, 500.0, 750.0, 1500.0, 3000.0, 3500.0, 5000.0, 10000.0, 10000.0]",Shroud of the Avatar: Forsaken Virtues,/projects/portalarium/shroud-of-the-avatar-forsaken-virtues-0
1321306,"Cyan, Inc.",Video Games,usd,1100000,"Spokane, WA",22195,"[559, 11890, 4652, 3075, 896, 783, 114, 37, 30, 25, 8, 5]","[1.0, 25.0, 45.0, 75.0, 120.0, 250.0, 425.0, 850.0, 850.0, 1100.0, 4500.0, 10000.0]",Obduction,/projects/cyaninc/obduction
